sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
21,0.001804939,1,reverse triggering,all,1.799402653,0.470506517,0.48022727
21,0.003005864,1,reverse triggering,all,1.799402653,0.443039582,0.48022727
21,0.003822493,1,reverse triggering,all,1.799402653,0.416717101,0.48022727
21,0.004395022,1,reverse triggering,all,1.799402653,0.416717101,0.48022727
21,0.004943709,1,reverse triggering,all,1.799402653,0.416717101,0.48022727
21,0.006149353,1,reverse triggering,all,1.728537958,0.389250165,0.48022727
21,0.006815697,1,reverse triggering,all,1.728537958,0.367505508,0.48022727
21,0.007573899,1,reverse triggering,all,1.728537958,0.349194217,0.48022727
21,0.008231208,1,reverse triggering,all,1.728537958,0.349194217,0.48022727
21,0.009616601,1,reverse triggering,all,1.664265328,0.321727281,0.48022727
21,0.010018817,1,reverse triggering,all,1.664265328,0.321727281,0.48022727
21,0.010840115,1,reverse triggering,all,1.664265328,0.357205407,0.48022727
21,0.010941761,1,reverse triggering,all,1.664265328,0.38810571,0.48022727
21,0.01144246,1,reverse triggering,all,1.664265328,0.428161658,0.48022727
21,0.011468813,1,reverse triggering,all,1.664265328,0.492251175,0.48022727
21,0.011551635,1,reverse triggering,all,1.664265328,0.461350872,0.48022727
21,0.011562929,1,reverse triggering,all,1.664265328,0.520862566,0.48022727
21,0.011630693,1,reverse triggering,all,1.664265328,0.541462768,0.48022727
21,0.013162908,1,reverse triggering,all,1.599992698,0.558629603,0.48022727
21,0.013526273,1,reverse triggering,all,1.599992698,0.558629603,0.48022727
21,0.016916271,1,reverse triggering,all,1.542312133,0.57808535,0.48022727
21,0.018914852,1,reverse triggering,all,1.542312133,0.603263374,0.48022727
21,0.020872925,1,reverse triggering,all,1.542312133,0.603263374,0.48022727
21,0.023131719,1,reverse triggering,all,1.504407762,0.616996842,0.48022727
21,0.023305948,1,reverse triggering,all,1.504407762,0.616996842,0.48022727
21,0.026342971,1,reverse triggering,volume_flow,1.504407762,0.639885955,
21,0.030293753,1,reverse triggering,volume_flow,1.448375212,0.658197246,
21,0.030461506,1,reverse triggering,volume_flow,1.448375212,0.658197246,
21,0.033465702,1,reverse triggering,volume_flow,1.448375212,0.674219625,
21,0.036458604,1,reverse triggering,volume_flow,1.403878776,0.686808637,
21,0.03758514,1,reverse triggering,volume_flow,1.403878776,0.686808637,
21,0.039816678,1,reverse triggering,volume_flow,1.403878776,0.698253194,
21,0.042990284,1,reverse triggering,volume_flow,1.374214486,0.709697751,
21,0.047598224,1,reverse triggering,volume_flow,1.374214486,0.708553295,
21,0.048378562,1,reverse triggering,volume_flow,1.374214486,0.729153497,
21,0.048957265,1,reverse triggering,volume_flow,1.374214486,0.729153497,
21,0.049021264,1,reverse triggering,volume_flow,1.374214486,0.748609243,
21,0.049062675,1,reverse triggering,volume_flow,1.374214486,0.761198255,
21,0.049100322,1,reverse triggering,volume_flow,1.374214486,0.772642812,
21,0.049265967,1,reverse triggering,volume_flow,1.374214486,0.710842206,
21,0.051321469,1,reverse triggering,volume_flow,1.374214486,0.774931723,
21,0.055195301,1,reverse triggering,volume_flow,1.374214486,0.774931723,
21,0.060364175,1,reverse triggering,volume_flow,1.361030356,0.776076179,
21,0.062945073,1,reverse triggering,volume_flow,1.361030356,0.776076179,
21,0.064606943,1,reverse triggering,volume_flow,1.361030356,0.776076179,
21,0.069587584,1,reverse triggering,volume_flow,1.361030356,0.776076179,
21,0.073830352,1,reverse triggering,volume_flow,1.362678373,0.776076179,
21,0.079364398,1,reverse triggering,volume_flow,1.362678373,0.776076179,
21,0.080747984,1,reverse triggering,volume_flow,1.362678373,0.776076179,
21,0.08618972,1,reverse triggering,volume_flow,1.362678373,0.776076179,
21,0.091908234,1,reverse triggering,volume_flow,1.365974405,0.776076179,
21,0.093774901,1,reverse triggering,volume_flow,1.365974405,0.776076179,
21,0.097626748,1,reverse triggering,volume_flow,1.365974405,0.776076179,
21,0.103345261,1,reverse triggering,all,1.364326389,0.776076179,0.485733116
21,0.108322138,1,reverse triggering,all,1.364326389,0.774931723,0.485733116
21,0.110170584,1,reverse triggering,all,1.364326389,0.832154506,0.485733116
21,0.110275994,1,reverse triggering,all,1.364326389,0.808120937,0.485733116
21,0.110351288,1,reverse triggering,all,1.364326389,0.887088378,0.485733116
21,0.110392699,1,reverse triggering,all,1.364326389,0.955755718,0.485733116
21,0.110422816,1,reverse triggering,all,1.364326389,0.852754708,0.485733116
21,0.110543285,1,reverse triggering,all,1.364326389,0.777220635,0.485733116
21,0.110644931,1,reverse triggering,all,1.364326389,0.920277592,0.485733116
21,0.111832605,1,reverse triggering,all,1.364326389,0.920277592,0.485733116
21,0.114097121,1,reverse triggering,all,1.364326389,0.96033354,0.485733116
21,0.11926223,1,reverse triggering,all,1.433543067,0.96033354,0.485733116
21,0.119498048,1,reverse triggering,all,1.433543067,0.96033354,0.485733116
21,0.121424751,1,reverse triggering,all,1.433543067,0.96033354,0.485733116
21,0.12442058,1,reverse triggering,all,1.507703794,0.96033354,0.575823881
21,0.124427339,1,reverse triggering,all,1.507703794,0.96033354,0.575823881
21,0.129304829,1,reverse triggering,all,1.507703794,0.961477996,0.575823881
21,0.129411745,1,reverse triggering,all,1.507703794,0.961477996,0.575823881
21,0.13494579,1,reverse triggering,all,1.570328408,0.961477996,0.575823881
21,0.135089148,1,reverse triggering,all,1.570328408,0.961477996,0.575823881
21,0.141963111,1,reverse triggering,all,1.636249054,0.963766907,0.575823881
21,0.142478116,1,reverse triggering,all,1.636249054,0.963766907,0.575823881
21,0.147497156,1,reverse triggering,all,1.636249054,0.963766907,0.725431017
21,0.153992544,1,reverse triggering,all,1.74501812,0.964911363,0.725431017
21,0.15469518,1,reverse triggering,all,1.74501812,0.964911363,0.725431017
21,0.1607751,1,reverse triggering,all,1.842251073,0.962622452,0.725431017
21,0.16329742,1,reverse triggering,all,1.842251073,0.495684542,0.725431017
21,0.163368949,1,reverse triggering,all,1.842251073,0.461350872,0.725431017
21,0.163399066,1,reverse triggering,all,1.842251073,0.526584845,0.725431017
21,0.163478124,1,reverse triggering,all,1.842251073,0.550618414,0.725431017
21,0.163560946,1,reverse triggering,all,1.842251073,0.575796438,0.725431017
21,0.16362871,1,reverse triggering,all,1.842251073,0.428161658,0.725431017
21,0.163670122,1,reverse triggering,all,1.842251073,0.608985652,0.725431017
