sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
9,-0.017730496,1,Reverse Trigger,paw_flow_volume,,,11.53333333
9,-0.01076341,1,Reverse Trigger,paw_flow_volume,447.7994092,,
9,0.038285728,1,Reverse Trigger,paw_flow_volume,,-21.89008516,
9,0.12286238,1,Reverse Trigger,paw_flow_volume,,-32.56677572,
9,0.163268349,1,Reverse Trigger,paw_flow_volume,325.9296231,,
9,0.23389099,1,Reverse Trigger,paw_flow_volume,,-21.02437911,
9,0.241896188,1,Reverse Trigger,paw_flow_volume,,-45.91421677,
9,0.245376708,1,Reverse Trigger,paw_flow_volume,,-37.02574038,
9,0.265957447,1,Reverse Trigger,paw_flow_volume,,,11.26666667
9,0.289231269,1,Reverse Trigger,paw_flow_volume,,-15.69760463,
9,0.337300108,1,Reverse Trigger,paw_flow_volume,204.0598371,,
9,0.415922222,1,Reverse Trigger,paw_flow_volume,,-9.49039763,
9,0.596561246,1,Reverse Trigger,paw_flow_volume,,-1.5118067,
9,0.602836879,1,Reverse Trigger,paw_flow_volume,,,11.26666667
9,0.605546651,1,Reverse Trigger,paw_flow_volume,117.2332352,,
9,0.705501543,1,Reverse Trigger,paw_flow_volume,,4.69750408,
9,0.866301599,1,Reverse Trigger,paw_flow_volume,,7.345112962,
9,0.872954486,1,Reverse Trigger,paw_flow_volume,65.30239125,,
9,0.887184723,1,Reverse Trigger,paw_flow_volume,,15.34263793,
9,1.010638298,1,Reverse Trigger,paw_flow_volume,,,11.26666667
9,1.153792607,1,Reverse Trigger,paw_flow_volume,,16.19992884,
9,1.158114959,1,Reverse Trigger,paw_flow_volume,65.74466955,,
9,1.312056738,1,Reverse Trigger,paw_flow_volume,,,11.26666667
9,1.438151147,1,Reverse Trigger,paw_flow_volume,,17.05511598,
9,1.538468707,1,Reverse Trigger,paw_flow_volume,60.51841428,,
9,1.560283688,1,Reverse Trigger,paw_flow_volume,,,11
9,1.650810961,1,Reverse Trigger,paw_flow_volume,,16.14102296,
9,1.793164257,1,Reverse Trigger,paw_flow_volume,,17.01304035,
9,1.808510638,1,Reverse Trigger,paw_flow_volume,,,15
9,1.843971631,1,Reverse Trigger,paw_flow_volume,,,11.26666667
9,1.843971631,1,Reverse Trigger,paw_flow_volume,,,12.86666667
9,1.918403101,1,Reverse Trigger,paw_flow_volume,72.74003802,,
9,1.952920157,1,Reverse Trigger,paw_flow_volume,,16.99410632,
9,1.957096782,1,Reverse Trigger,paw_flow_volume,,27.66027798,
9,1.960925354,1,Reverse Trigger,paw_flow_volume,,37.437602,
9,1.980764322,1,Reverse Trigger,paw_flow_volume,,42.76858405,
9,2.021276596,1,Reverse Trigger,paw_flow_volume,,,16.6
9,2.049940359,1,Reverse Trigger,paw_flow_volume,136.9219909,,
9,2.228925447,1,Reverse Trigger,paw_flow_volume,,41.85028347,
9,2.269503546,1,Reverse Trigger,paw_flow_volume,,,18.73333333
