sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
4,0.036231884,1,Delayed cycling,flow,,11.45997001,
4,0.27173913,1,Delayed cycling,flow,,12.15322339,
4,0.471014493,1,Delayed cycling,flow,,12.84167916,
4,0.760869565,1,Delayed cycling,flow,,13.54212894,
4,0.942028986,1,Delayed cycling,flow,,14.22818591,
4,1.141304348,1,Delayed cycling,flow,,15.57871064,
4,1.322463768,1,Delayed cycling,flow,,16.26476762,
4,1.43115942,1,Delayed cycling,flow,,17.60329835,
4,1.485507246,1,Delayed cycling,flow,,22.90704648,
4,1.503623188,1,Delayed cycling,flow,,32.17841079,
4,1.557971014,1,Delayed cycling,flow,,48.07526237,
4,1.612318841,1,Delayed cycling,flow,,58.67556222,
4,1.630434783,1,Delayed cycling,flow,,66.62278861,
4,1.684782609,1,Delayed cycling,flow,,73.91274363,
4,1.702898551,1,Delayed cycling,flow,,77.88755622,
4,1.793478261,1,Delayed cycling,flow,,69.29265367,
4,1.847826087,1,Delayed cycling,flow,,60.69295352,
4,1.920289855,1,Delayed cycling,flow,,52.75772114,
4,1.974637681,1,Delayed cycling,flow,,44.82008996,
4,2.101449275,1,Delayed cycling,flow,,40.86446777,
4,2.264492754,1,Delayed cycling,flow,,38.89985007,
4,2.445652174,1,Delayed cycling,flow,,37.59970015,
4,2.572463768,1,Delayed cycling,flow,,36.29235382,
4,2.699275362,1,Delayed cycling,flow,,32.33673163,
4,2.699275362,1,Delayed cycling,flow,,26.37811094,
4,2.699275362,1,Delayed cycling,flow,,13.7988006,
4,2.699275362,1,Delayed cycling,flow,,1.88155922,
4,2.699275362,1,Delayed cycling,flow,,-4.077061469,
4,2.971014493,1,Delayed cycling,flow,,-1.392803598,
4,3.297101449,1,Delayed cycling,flow,,2.622788606,
4,3.768115942,1,Delayed cycling,flow,,7.31964018,
4,4.112318841,1,Delayed cycling,flow,,9.351424288,
4,4.275362319,1,Delayed cycling,flow,,11.35922039,
4,4.384057971,1,Delayed cycling,flow,,19.31844078,
4,4.420289855,1,Delayed cycling,flow,,31.24047976,
4,4.456521739,1,Delayed cycling,flow,,44.48665667,
4,4.510869565,1,Delayed cycling,flow,,56.41109445,
4,4.619565217,1,Delayed cycling,flow,,67.0185907,
4,4.710144928,1,Delayed cycling,flow,,57.09955022,
4,4.800724638,1,Delayed cycling,flow,,43.87016492,
4,4.90942029,1,Delayed cycling,flow,,38.588006,
4,5.253623188,1,Delayed cycling,flow,,35.32323838,
4,5.471014493,1,Delayed cycling,flow,,33.36581709,
4,5.615942029,1,Delayed cycling,flow,,32.06086957,
4,5.615942029,1,Delayed cycling,flow,,21.46776612,
4,5.652173913,1,Delayed cycling,flow,,5.582908546,
4,5.652173913,1,Delayed cycling,flow,,-6.334332834,
4,5.923913043,1,Delayed cycling,flow,,-2.988005997,
4,6.195652174,1,Delayed cycling,flow,,1.020389805,
4,6.52173913,1,Delayed cycling,flow,,4.373913043,
4,6.847826087,1,Delayed cycling,flow,,7.727436282,
4,7.083333333,1,Delayed cycling,flow,,9.082758621,
4,7.210144928,1,Delayed cycling,flow,,18.36851574,
4,7.282608696,1,Delayed cycling,flow,,25.66086957,
4,7.282608696,1,Delayed cycling,flow,,38.90224888,
4,7.336956522,1,Delayed cycling,flow,,48.84047976,
4,7.391304348,1,Delayed cycling,flow,,56.79250375,
4,7.445652174,1,Delayed cycling,flow,,63.42038981,
4,7.5,1,Delayed cycling,flow,,65.4137931,
4,7.554347826,1,Delayed cycling,flow,,56.15202399,
4,7.608695652,1,Delayed cycling,flow,,48.2143928,
4,7.68115942,1,Delayed cycling,flow,,42.26536732,
4,7.862318841,1,Delayed cycling,flow,,37.65487256,
4,8.061594203,1,Delayed cycling,flow,,35.69505247,
4,8.297101449,1,Delayed cycling,flow,,32.41589205,
4,8.47826087,1,Delayed cycling,flow,,32.43988006,
4,8.532608696,1,Delayed cycling,flow,,24.50224888,
4,8.550724638,1,Delayed cycling,flow,,13.91154423,
4,8.550724638,1,Delayed cycling,flow,,4.642578711,
4,8.56884058,1,Delayed cycling,flow,,-1.313643178,
4,8.586956522,1,Delayed cycling,flow,,-5.945727136,
4,8.786231884,1,Delayed cycling,flow,,-3.271064468,
4,8.949275362,1,Delayed cycling,flow,,-1.263268366,
4,9.166666667,1,Delayed cycling,flow,,1.413793103,
4,9.420289855,1,Delayed cycling,flow,,4.095652174,
4,9.601449275,1,Delayed cycling,flow,,6.767916042,
4,9.764492754,1,Delayed cycling,flow,,7.451574213,
4,9.945652174,1,Delayed cycling,flow,,9.461769115,
4,10.05434783,1,Delayed cycling,flow,,16.75892054,
4,10.10869565,1,Delayed cycling,flow,,24.71094453,
4,10.14492754,1,Delayed cycling,flow,,36.63298351,
4,10.18115942,1,Delayed cycling,flow,,46.56881559,
4,10.23550725,1,Delayed cycling,flow,,53.85877061,
4,10.27173913,1,Delayed cycling,flow,,59.82218891,
4,10.36231884,1,Delayed cycling,flow,,63.8065967,
4,10.39855072,1,Delayed cycling,flow,,54.54242879,
4,10.45289855,1,Delayed cycling,flow,,46.6047976,
4,10.59782609,1,Delayed cycling,flow,,39.34122939,
4,10.92391304,1,Delayed cycling,flow,,36.07406297,
4,11.14130435,1,Delayed cycling,flow,,34.11664168,
4,11.43115942,1,Delayed cycling,flow,,30.84467766,
4,11.44927536,1,Delayed cycling,flow,,20.25397301,
4,11.44927536,1,Delayed cycling,flow,,9.660869565,
4,11.44927536,1,Delayed cycling,flow,,0.391904048,
4,11.48550725,1,Delayed cycling,flow,,-7.548125937,
4,11.72101449,1,Delayed cycling,flow,,-4.206596702,
4,12.02898551,1,Delayed cycling,flow,,0.468665667,
4,12.30072464,1,Delayed cycling,flow,,3.814992504,
4,12.60869565,1,Delayed cycling,flow,,7.166116942,
4,12.78985507,1,Delayed cycling,flow,,9.176311844,
4,12.91666667,1,Delayed cycling,flow,,19.12413793,
4,12.98913043,1,Delayed cycling,flow,,30.38890555,
4,13.02536232,1,Delayed cycling,flow,,40.32473763,
4,13.07971014,1,Delayed cycling,flow,,48.93883058,
4,13.11594203,1,Delayed cycling,flow,,56.88845577,
4,13.1884058,1,Delayed cycling,flow,,62.1946027,
4,13.29710145,1,Delayed cycling,flow,,51.61589205,
4,13.35144928,1,Delayed cycling,flow,,41.02998501,
4,13.62318841,1,Delayed cycling,flow,,37.09355322,
4,13.93115942,1,Delayed cycling,flow,,35.14812594,
4,14.14855072,1,Delayed cycling,flow,,33.19070465,
4,14.36594203,1,Delayed cycling,flow,,30.57121439,
4,14.38405797,1,Delayed cycling,flow,,19.31844078,
4,14.38405797,1,Delayed cycling,flow,,11.37361319,
4,14.38405797,1,Delayed cycling,flow,,3.428785607,
4,14.40217391,1,Delayed cycling,flow,,-3.851574213,
4,14.40217391,1,Delayed cycling,flow,,-7.16191904,
4,14.58333333,1,Delayed cycling,flow,,-3.827586207,
4,14.80072464,1,Delayed cycling,flow,,-0.488455772,
