sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
10,0.024002729,1,Early cycling,paw_flow,,3.80277356,
10,0.049450439,1,Early cycling,paw_flow,,10.01552016,
10,0.052591171,1,Early cycling,paw_flow,,,5.5
10,0.06398052,1,Early cycling,paw_flow,,18.29472248,
10,0.095201536,1,Early cycling,paw_flow,,,7
10,0.102754159,1,Early cycling,paw_flow,,29.33811872,
10,0.116570697,1,Early cycling,paw_flow,,,8.833333333
10,0.150351887,1,Early cycling,paw_flow,,,10.83333333
10,0.220359506,1,Early cycling,paw_flow,,32.81343029,
10,0.237236084,1,Early cycling,paw_flow,,,12
10,0.342674344,1,Early cycling,paw_flow,,,12.33333333
10,0.416796559,1,Early cycling,paw_flow,,28.7206572,
10,0.456941779,1,Early cycling,paw_flow,,,12.16666667
10,0.6721567,1,Early cycling,paw_flow,,26.71039516,
10,0.791810621,1,Early cycling,paw_flow,,,12.33333333
10,0.937711981,1,Early cycling,paw_flow,,20.5645458,
10,1.089443378,1,Early cycling,paw_flow,,,12
10,1.26315367,1,Early cycling,paw_flow,,19.26004964,
10,1.355214331,1,Early cycling,paw_flow,,,12.16666667
10,1.483111792,1,Early cycling,paw_flow,,15.86233886,
10,1.628918746,1,Early cycling,paw_flow,,,11.66666667
10,1.760788852,1,Early cycling,paw_flow,,11.09858646,
10,1.80277356,1,Early cycling,paw_flow,,-1.995210158,
10,1.846203247,1,Early cycling,paw_flow,,-10.95074356,
10,1.87165707,1,Early cycling,paw_flow,,,11.83333333
10,1.884708893,1,Early cycling,paw_flow,,,7.833333333
10,1.985884683,1,Early cycling,paw_flow,,-10.91863289,
10,2.029046705,1,Early cycling,paw_flow,,,6.833333333
10,2.102767539,1,Early cycling,paw_flow,,-9.512452921,
10,2.153039028,1,Early cycling,paw_flow,,,6.333333333
10,2.206083635,1,Early cycling,paw_flow,,-13.62663313,
10,2.274479372,1,Early cycling,paw_flow,,-17.74884101,
10,2.296609085,1,Early cycling,paw_flow,,,7.333333333
10,2.401557368,1,Early cycling,paw_flow,,-20.47824836,
10,2.505836784,1,Early cycling,paw_flow,,-21.83358643,
10,2.680920238,1,Early cycling,paw_flow,,-20.41402701,
10,2.70940499,1,Early cycling,paw_flow,,,7
10,2.868366303,1,Early cycling,paw_flow,,-16.9226601,
10,3.041586692,1,Early cycling,paw_flow,,,6.666666667
10,3.043449757,1,Early cycling,paw_flow,,-15.50310069,
10,3.195734632,1,Early cycling,paw_flow,,-12.70947198,
10,3.341010877,1,Early cycling,paw_flow,,,6.666666667
10,3.382458206,1,Early cycling,paw_flow,,-11.28723668,
10,3.534020591,1,Early cycling,paw_flow,,-10.56273958,
10,3.617402431,1,Early cycling,paw_flow,,,6.666666667
10,3.709104045,1,Early cycling,paw_flow,,-9.143180161,
10,3.927447217,1,Early cycling,paw_flow,,,6.5
10,3.942628928,1,Early cycling,paw_flow,,-7.020530763,
10,4.105590602,1,Early cycling,paw_flow,,-6.983068309,
10,4.169289827,1,Early cycling,paw_flow,,,6.5
10,4.258116308,1,Early cycling,paw_flow,,-3.499729066,
10,4.34996801,1,Early cycling,paw_flow,,,5.833333333
10,4.400206043,1,Early cycling,paw_flow,,3.429486965,
10,4.438979683,1,Early cycling,paw_flow,,14.4728832,
10,4.453028104,1,Early cycling,paw_flow,,21.37266445,
10,4.461548305,1,Early cycling,paw_flow,,,5.166666667
10,4.490356763,1,Early cycling,paw_flow,,28.27779748,
10,4.518362124,1,Early cycling,paw_flow,,,7.166666667
