sample_id,time,anomaly,anomaly_type,data_modality,volume,flow,pressure
5,-0.008325574,1,Double trigger,paw_flow,,,9.821051129
5,0.014238431,1,Double trigger,paw_flow,,,10.3054976
5,0.024772831,1,Double trigger,paw_flow,,,13.1822723
5,0.025248578,1,Double trigger,paw_flow,,,11.50573955
5,0.035668392,1,Double trigger,paw_flow,,5.815649637,
5,0.046521269,1,Double trigger,paw_flow,,,16.54077492
5,0.047337895,1,Double trigger,paw_flow,,12.7944292,
5,0.064703226,1,Double trigger,paw_flow,,26.75094641,
5,0.075990692,1,Double trigger,paw_flow,,43.3226826,
5,0.079959494,1,Double trigger,paw_flow,,,18.7044727
5,0.147107797,1,Double trigger,paw_flow,,,22.07384954
5,0.201021082,1,Double trigger,paw_flow,,53.8096065,
5,0.231688834,1,Double trigger,paw_flow,,,24.01027614
5,0.310526924,1,Double trigger,paw_flow,,,26.18484813
5,0.338207203,1,Double trigger,paw_flow,,59.06609245,
5,0.378286903,1,Double trigger,paw_flow,,,27.39868286
5,0.452129648,1,Double trigger,paw_flow,,,27.17684879
5,0.463584899,1,Double trigger,paw_flow,,60.8321467,
5,0.476460713,1,Double trigger,paw_flow,,,21.43417359
5,0.494980868,1,Double trigger,paw_flow,,,16.16914848
5,0.506234154,1,Double trigger,paw_flow,,39.90935297,
5,0.524375242,1,Double trigger,paw_flow,,,12.58337468
5,0.525023443,1,Double trigger,paw_flow,,18.11030459,
5,0.561629563,1,Double trigger,paw_flow,,-1.069357135,
5,0.563828269,1,Double trigger,paw_flow,,,13.55090834
5,0.638622508,1,Double trigger,paw_flow,,,9.976008754
5,0.657277811,1,Double trigger,paw_flow,,-2.796860348,
5,0.728684055,1,Double trigger,paw_flow,,4.192338416,
5,0.746854972,1,Double trigger,paw_flow,,,8.564806949
5,0.763064355,1,Double trigger,paw_flow,,,11.44294093
5,0.767787844,1,Double trigger,paw_flow,,,14.79736572
5,0.770152468,1,Double trigger,paw_flow,,12.92050151,
5,0.781474664,1,Double trigger,paw_flow,,28.62015073,
5,0.798735804,1,Double trigger,paw_flow,,45.19292884,
5,0.812168251,1,Double trigger,paw_flow,,,18.40081013
5,0.887958879,1,Double trigger,paw_flow,,54.80151426,
5,0.890530594,1,Double trigger,paw_flow,,,22.25191488
5,0.963149989,1,Double trigger,paw_flow,,,26.34116504
5,0.995589206,1,Double trigger,paw_flow,,52.20400792,
5,1.07501852,1,Double trigger,paw_flow,,,32.11646289
5,1.109019553,1,Double trigger,paw_flow,,53.96797833,
5,1.176148759,1,Double trigger,paw_flow,,,35.73350007
5,1.204563609,1,Double trigger,paw_flow,,54.85673601,
5,1.206834447,1,Double trigger,paw_flow,,,27.59713736
5,1.223318168,1,Double trigger,paw_flow,,33.9297746,
5,1.231981079,1,Double trigger,paw_flow,,,18.98040602
5,1.236342166,1,Double trigger,paw_flow,,6.897162505,
5,1.249296704,1,Double trigger,paw_flow,,-18.39127566,
5,1.27419859,1,Double trigger,paw_flow,,-43.67762998,
5,1.35825795,1,Double trigger,paw_flow,,,13.98071185
5,1.38200257,1,Double trigger,paw_flow,,-50.63557115,
5,1.53438632,1,Double trigger,paw_flow,,,13.30433542
5,1.543013927,1,Double trigger,paw_flow,,-43.63074358,
5,1.653696895,1,Double trigger,paw_flow,,,12.85387088
5,1.686000069,1,Double trigger,paw_flow,,-34.01278088,
5,1.930851249,1,Double trigger,paw_flow,,-32.22588824,
5,1.942985109,1,Double trigger,paw_flow,,,13.40220339
5,2.127913034,1,Double trigger,paw_flow,,-30.44733095,
5,2.164445381,1,Double trigger,paw_flow,,,12.97620585
5,2.318966415,1,Double trigger,paw_flow,,-27.79772861,
5,2.369084595,1,Double trigger,paw_flow,,,11.82761644
5,2.461778905,1,Double trigger,paw_flow,,-13.81933109,
5,2.522580996,1,Double trigger,paw_flow,,,10.90629821
5,2.550793596,1,Double trigger,paw_flow,,1.021776126,
5,2.607977599,1,Double trigger,paw_flow,,,9.968668656
5,2.618444035,1,Double trigger,paw_flow,,,13.08494804
5,2.634147189,1,Double trigger,paw_flow,,8.01305873,
5,2.634449527,1,Double trigger,paw_flow,,,16.68159606
5,2.639322057,1,Double trigger,paw_flow,,28.07210086,
5,2.656548467,1,Double trigger,paw_flow,,45.51696593,
5,2.712675941,1,Double trigger,paw_flow,,,21.01171017
5,2.763657834,1,Double trigger,paw_flow,,56.00076407,
5,2.785839048,1,Double trigger,paw_flow,,,23.18492289
5,2.894939742,1,Double trigger,paw_flow,,59.51203417,
5,2.915887914,1,Double trigger,paw_flow,,,24.89271903
5,2.996283819,1,Double trigger,paw_flow,,64.76226861,
5,3.040737544,1,Double trigger,paw_flow,,,24.92262313
5,3.062167888,1,Double trigger,paw_flow,,60.4132949,
5,3.076554504,1,Double trigger,paw_flow,,,18.70365714
5,3.089603567,1,Double trigger,paw_flow,,,12.71875871
5,3.099017122,1,Double trigger,paw_flow,,35.12902442,
5,3.130008088,1,Double trigger,paw_flow,,,10.33322686
5,3.141944223,1,Double trigger,paw_flow,,7.229534956,
5,3.21486098,1,Double trigger,paw_flow,,,11.31163473
5,3.273712361,1,Double trigger,paw_flow,,-1.468412461,
5,3.287956123,1,Double trigger,paw_flow,,,13.72435213
5,3.39978467,1,Double trigger,paw_flow,,-17.14409752,
5,3.492527372,1,Double trigger,paw_flow,,,12.8152674
5,3.537318098,1,Double trigger,paw_flow,,-20.60848123,
5,3.640008971,1,Double trigger,paw_flow,,,13.0901133
5,3.68079047,1,Double trigger,paw_flow,,-23.19973605,
5,3.912612055,1,Double trigger,paw_flow,,,12.43684457
5,3.991004758,1,Double trigger,paw_flow,,-12.68051262,
5,4.145490257,1,Double trigger,paw_flow,,,11.77406091
5,4.1999097,1,Double trigger,paw_flow,,-8.2836106,
5,4.338575613,1,Double trigger,paw_flow,,,11.34126698
5,4.39665891,1,Double trigger,paw_flow,,1.343729379,
5,4.485638871,1,Double trigger,paw_flow,,17.05692356,
