time,sample_id,window_id,wave_count,flow,mask_flow,volume,mask_volume,pressure,mask_pressure,anomaly_id
0,0,0,0,0.351665498,1,0,0,5.304916516,1,0
0.02,0,0,0,0.351665498,1,0,0,5.405964734,1,0
0.04,0,0,0,0.351665498,1,0,0,5.507012952,1,0
0.06,0,0,0,0.351665498,1,0,0,5.60806117,1,0
0.08,0,0,0,0.351665498,1,0,0,5.709109387,1,0
0.1,0,0,0,0.351665498,1,0,0,5.810157605,1,0
0.12,0,0,0,0.351665498,1,0,0,5.911205823,1,0
0.14,0,0,0,0.351665498,1,0,0,6.012254041,1,0
0.16,0,0,0,-1.290493228,1,0,0,6.113302259,1,0
0.18,0,0,0,-2.932651953,1,0,0,6.214350477,1,0
0.2,0,0,0,-4.574810678,1,0,0,6.315398694,1,0
0.22,0,0,0,-6.216969404,1,0,0,6.416446912,1,0
0.24,0,0,0,-7.859128129,1,0,0,6.51749513,1,0
0.26,0,0,0,-9.501286855,1,0,0,6.274255878,1,0
0.28,0,0,0,-5.848847841,1,0,0,6.017847069,1,0
0.3,0,0,0,-2.043692281,1,0,0,5.76143826,1,0
0.32,0,0,0,1.761463279,1,0,0,5.505029451,1,0
0.34,0,0,0,5.566618838,1,0,0,5.248620642,1,0
0.36,0,0,0,9.371774398,1,0,0,4.992211833,1,0
0.38,0,0,0,13.17692996,1,0,0,4.735803024,1,0
0.4,0,0,0,16.98208552,1,0,0,4.479394215,1,0
0.42,0,0,0,20.78724108,1,0,0,4.222985406,1,0
0.44,0,0,0,24.59239664,1,0,0,3.966576597,1,0
0.46,0,0,0,7.625321783,1,0,0,3.710167788,1,0
0.48,0,0,0,3.170797158,1,0,0,5.644139146,1,0
0.5,0,0,0,4.376439672,1,0,0,8.162059434,1,0
0.52,0,0,0,5.582082187,1,0,0,11.39634509,1,0
0.54,0,0,0,6.787724702,1,0,0,14.3273464,1,0
0.56,0,0,0,7.993367217,1,0,0,16.2918324,1,0
0.58,0,0,0,9.199009732,1,0,0,18.25631839,1,0
0.6,0,0,0,10.40465225,1,0,0,19.64284755,1,0
0.62,0,0,0,11.61029476,1,0,0,20.53457169,1,0
0.64,0,0,0,12.81593728,1,0,0,21.42629583,1,0
0.66,0,0,0,14.02157979,1,0,0,22.31801996,1,0
0.68,0,0,0,15.22722231,1,0,0,23.2097441,1,0
0.7,0,0,0,16.43286482,1,0,0,23.45338068,1,0
0.72,0,0,0,17.63850734,1,0,0,23.67351719,1,0
0.74,0,0,0,18.84414985,1,0,0,23.89365371,1,0
0.76,0,0,0,20.04979237,1,0,0,24.11379023,1,0
0.78,0,0,0,21.25543488,1,0,0,24.33392675,1,0
0.8,0,0,0,22.4610774,1,0,0,24.55406327,1,0
0.82,0,0,0,23.66671991,1,0,0,24.77419979,1,0
0.84,0,0,0,24.87236243,1,0,0,24.99433631,1,0
0.86,0,0,0,26.07800494,1,0,0,25.21447283,1,0
0.88,0,0,0,27.28364745,1,0,0,25.09889242,1,0
0.9,0,0,0,27.58326571,1,0,0,24.85461531,1,0
0.92,0,0,0,26.94170127,1,0,0,24.61033821,1,0
0.94,0,0,0,26.30013682,1,0,0,24.3660611,1,0
0.96,0,0,0,25.65857238,1,0,0,24.12178399,1,0
0.98,0,0,0,25.01700793,1,0,0,23.87750688,1,0
1,0,0,0,24.37544349,1,0,0,23.63322977,1,0
1.02,0,0,0,23.73387904,1,0,0,23.38895267,1,0
1.04,0,0,0,23.0923146,1,0,0,23.12077726,1,0
1.06,0,0,0,22.45075016,1,0,0,22.8072376,1,0
1.08,0,0,0,21.80918571,1,0,0,22.49369795,1,0
1.1,0,0,0,21.16762127,1,0,0,22.1801583,1,0
1.12,0,0,0,20.52605682,1,0,0,21.86661864,1,0
1.14,0,0,0,19.88449238,1,0,0,21.55307899,1,0
1.16,0,0,0,19.24292793,1,0,0,21.23953934,1,0
1.18,0,0,0,18.60136349,1,0,0,20.82383543,1,0
1.2,0,0,0,17.95979904,1,0,0,20.3859976,1,0
1.22,0,0,0,17.3182346,1,0,0,19.94815976,1,0
1.24,0,0,0,16.67667015,1,0,0,19.51032192,1,0
1.26,0,0,0,16.03510571,1,0,0,19.07248408,1,0
1.28,0,0,0,15.39354127,1,0,0,18.57759485,1,0
1.3,0,0,0,14.75197682,1,0,0,17.88028664,1,0
1.32,0,0,0,14.11041238,1,0,0,17.18297843,1,0
1.34,0,0,0,13.46884793,1,0,0,16.48567022,1,0
1.36,0,0,0,12.78521734,1,0,0,15.78836201,1,0
1.38,0,0,0,12.0207729,1,0,0,15.09105379,1,0
1.4,0,0,0,11.25632845,1,0,0,14.39374558,1,0
1.42,0,0,0,10.49188401,1,0,0,13.69643737,1,0
1.44,0,0,0,9.727439567,1,0,0,12.99912916,1,0
1.46,0,0,0,8.962995124,1,0,0,12.30182095,1,0
1.48,0,0,0,8.198550682,1,0,0,11.7714546,1,0
1.5,0,0,0,7.434106239,1,0,0,11.27164747,1,0
1.52,0,0,0,6.655834954,1,0,0,10.77184033,1,0
1.54,0,0,0,4.355390528,1,0,0,10.2720332,1,0
1.56,0,0,0,2.054946102,1,0,0,9.772226067,1,0
1.58,0,0,0,0.405628597,1,0,0,9.272418934,1,0
1.6,0,0,0,0.921184155,1,0,0,8.686636959,1,0
1.62,0,0,0,1.436739712,1,0,0,7.903303622,1,0
1.64,0,0,0,1.95229527,1,0,0,7.119970285,1,0
1.66,0,0,0,2.467850827,1,0,0,6.336636947,1,0
1.68,0,0,0,2.983406385,1,0,0,5.55330361,1,0
1.7,0,0,0,3.498961943,1,0,0,4.848687558,1,0
1.72,0,0,0,4.0145175,1,0,0,4.194478806,1,0
1.74,0,0,0,4.530073058,1,0,0,3.540270054,1,0
1.76,0,0,0,12.34368464,1,0,0,2.886061302,1,0
1.78,0,0,0,21.54412671,1,0,0,2.231852542,1,0
1.8,0,0,0,39.7238346,1,0,0,1.577643782,1,0
1.82,0,0,0,39.15139015,1,0,0,3.205846772,1,0
1.84,0,0,0,38.57894571,1,0,0,4.86026538,1,0
1.86,0,0,0,38.00650126,1,0,0,7.501975414,1,0
1.88,0,0,0,37.43405682,1,0,0,11.79815496,1,0
1.9,0,0,0,36.86161237,1,0,0,14.79068163,1,0
1.92,0,0,0,36.28916793,1,0,0,17.09475888,1,0
1.94,0,0,0,35.71672348,1,0,0,19.02032805,1,0
1.96,0,0,0,35.14427904,1,0,0,20.94589721,1,0
1.98,0,0,0,34.57183459,1,0,0,22.86645493,1,0
2,0,0,0,33.99939015,1,0,0,24.67554585,1,0
2.02,0,0,0,33.4269457,1,0,0,26.48463676,1,0
2.04,0,0,0,32.85450126,1,0,0,28.29372767,1,0
2.06,0,0,0,32.28205681,1,0,0,29.90213872,1,0
2.08,0,0,0,31.70961237,1,0,0,31.24936094,1,0
2.1,0,0,0,31.13716792,1,0,0,32.59658317,1,0
2.12,0,0,0,30.56472348,1,0,0,33.9438054,1,0
2.14,0,0,0,29.99227903,1,0,0,34.92629582,1,0
2.16,0,0,0,29.41983459,1,0,0,35.81801996,1,0
2.18,0,0,0,28.84739014,1,0,0,36.70974409,1,0
2.2,0,0,0,28.2749457,1,0,0,37.60146823,1,0
2.22,0,0,0,27.70250125,1,0,0,38.45904495,1,0
2.24,0,0,0,27.13005681,1,0,0,39.20032935,1,0
2.26,0,0,0,26.55761236,1,0,0,39.94161376,1,0
2.28,0,0,0,25.98137957,1,0,0,40.68289817,1,0
2.3,0,0,0,25.32664942,1,0,0,41.42418257,1,0
2.32,0,0,0,24.67191926,1,0,0,42.16546698,1,0
2.34,0,0,0,24.01718911,1,0,0,42.6436262,1,0
2.36,0,0,0,23.36245895,1,0,0,43.02241407,1,0
2.38,0,0,0,22.70772879,1,0,0,43.40120195,1,0
2.4,0,0,0,22.05299864,1,0,0,43.77998983,1,0
2.42,0,0,0,21.39826848,1,0,0,44.15877771,1,0
2.44,0,0,0,20.74353832,1,0,0,44.53756558,1,0
2.46,0,0,0,20.08880817,1,0,0,44.88826408,1,0
2.48,0,0,0,19.43407801,1,0,0,45.16384051,1,0
2.5,0,0,0,18.77934786,1,0,0,45.43941694,1,0
2.52,0,0,0,18.1246177,1,0,0,45.71499337,1,0
2.54,0,0,0,17.32190912,1,0,0,45.9905698,1,0
2.56,0,0,0,14.88593526,1,0,0,46.26614624,1,0
2.58,0,0,0,12.44996139,1,0,0,46.54172267,1,0
2.6,0,0,0,10.01398753,1,0,0,46.8172991,1,0
2.62,0,0,0,7.578013667,1,0,0,46.97855288,1,0
2.64,0,0,0,5.142039804,1,0,0,47.12491651,1,0
2.66,0,0,0,2.706065941,1,0,0,47.27128015,1,0
2.68,0,0,0,0.270092078,1,0,0,47.41764378,1,0
2.7,0,0,0,-2.165881785,1,0,0,47.56400742,1,0
2.72,0,0,0,-4.601855648,1,0,0,47.83879853,1,0
2.74,0,0,0,-7.037829511,1,0,0,48.37062295,1,0
2.76,0,0,0,-9.473803374,1,0,0,48.90244737,1,0
2.78,0,0,0,-11.90977724,1,0,0,49.43427179,1,0
2.8,0,0,0,-14.3457511,1,0,0,49.96609621,1,0
2.82,0,0,0,-16.78172496,1,0,0,50.37777854,1,0
2.84,0,0,0,-19.21769883,1,0,0,50.74596555,1,0
2.86,0,0,0,-10.95928239,1,0,0,51.11415255,1,0
2.88,0,0,0,-29.64637041,1,0,0,51.48233955,1,0
2.9,0,0,0,-71.75967221,1,0,0,51.85052655,1,0
2.92,0,0,0,-69.06811668,1,0,0,51.9263212,1,0
2.94,0,0,0,-66.37656115,1,0,0,50.8437125,1,0
2.96,0,0,0,-46.71691236,1,0,0,42.52504239,1,0
2.98,0,0,0,-27.46831736,1,0,0,25.00491786,1,0
3,0,0,0,-28.77920166,1,0,0,20.30491661,1,0
3.02,0,0,0,-33.09564611,1,0,0,12.34081401,1,0
3.04,0,0,0,-37.41209056,1,0,0,9.019589201,1,0
3.06,0,0,0,-40.44619101,1,0,0,8.726812679,1,0
3.08,0,0,0,-36.60263548,1,0,0,8.434036157,1,0
3.1,0,0,0,-32.75907996,1,0,0,8.141259635,1,0
3.12,0,0,0,-30.23325652,1,0,0,7.848483113,1,0
3.14,0,0,0,-29.8631555,1,0,0,7.595586579,1,0
3.16,0,0,0,-29.49305449,1,0,0,7.430276994,1,0
3.18,0,0,0,-29.12295348,1,0,0,7.26496741,1,0
3.2,0,0,0,-28.75285247,1,0,0,7.099657825,1,0
3.22,0,0,0,-28.38275146,1,0,0,6.93434824,1,0
3.24,0,0,0,-28.01265045,1,0,0,6.769038656,1,0
3.26,0,0,0,-27.64254944,1,0,0,6.603729071,1,0
3.28,0,0,0,-27.27244843,1,0,0,6.438419486,1,0
3.3,0,0,0,-26.90234742,1,0,0,6.417161414,1,0
3.32,0,0,0,-26.53224641,1,0,0,6.416481142,1,0
